country,state,city,description,type,month,dayOfMonth,dayOfWeek,ordinal,holiday,daysOffset
BR,,,Confraternização Universal,MonthDayHoliday,1,1,,,,
BR,,,Páscoa,Computus,,,,,,
BR,,,Carnaval,HolidayRelative,,,-47,,Páscoa,
BR,,,Paixão de Cristo,HolidayRelative,,,-3,,Páscoa,
BR,,,Tiradentes,MonthDayHoliday,4,21,,,,
BR,,,Dia do Trabalho,MonthDayHoliday,5,1,,,,
BR,,,Corpus Christi,MonthDayHoliday,6,20,,,,
BR,,,Independência do Brasil,MonthDayHoliday,9,7,,,,
BR,,,Nossa Sr.a Aparecida,MonthDayHoliday,10,12,,,,
BR,,,Finados,MonthDayHoliday,11,2,,,,
BR,,,Proclamação da República,MonthDayHoliday,11,15,,,,
BR,,,Natal,MonthDayHoliday,12,25,,,,
